post_id,post_text,time,reaction_count,comments,shares,post_url,page_url,like,love,haha,wow,care,angry,sad,images_cnt
667131541436852,"""חשוב ליזכור אתם שווים רק אם יש הכלה הדדית""
-\-\ מישפט יפה של דוסטן ליקראת טו באב השבוע לא לשכוח",2022-08-09 12:34:19,85,4,0,https://facebook.com/HezyLaplacian/posts/667131541436852,https://m.facebook.com/HezyLaplacian/,78,4,3,0,0,0,0,0
665050884978251,"🚨🚨🚨
בשל המצב הבטחוני: צנזור יפתח את ערוץ ""האח על מלא"" בחינם בכל הארץ.
גם לסטודנט שיעלה על הדעת שלא ידע לחבר שברים.",2022-08-07 08:57:37,101,3,0,https://facebook.com/HezyLaplacian/posts/665050884978251,https://m.facebook.com/HezyLaplacian/,73,0,27,0,1,0,0,0
663262195157120,וואלה יא תייסיר איך נפלתה בשאלת פתיחה לתפקיד מהנדס HTML בחייאת תייסיר תגיד לי אמרתי לך אלף פעמים תיקרא מאמרים של הודים 500 שאלות ראיונות עבודה שמעתי נתנו לך קוד פן אמרו לך תעשה לי רשימה מקושרת פתחת כרום כתבת איימן עודה אחמד טיבי מאכזב מה אני יגיד לך בכול מיקרה תדע לך ישראל עברה ממוד אסינק אווייט בחזרה לתיכנות סינכרוני ניגמר הסרט שממתינים לטילים שלכם חוזרים למהדרין חוזרים לסי אל ברמג'ה אל איג'ראאיה מה שניקרא עוברים שורה שורה כמו מחורעים תאמין לי כותבים ככה מעבדים זה טוב גם לדאשבורד פיגועים המעפן שלך בריאקט ג'יי אס אללה יעזור לך,2022-08-05 19:13:28,62,5,0,https://facebook.com/HezyLaplacian/posts/663262195157120,https://m.facebook.com/HezyLaplacian/,42,0,20,0,0,0,0,1
663242181825788,"נמיות יקרות שוב מלחמה שוב בממד דבר תורה לשבת דברים ותשעה באב לזכר החורבן שיזכיר לנו אהבת חינם מהי שלח לי אורי מכלוף פרידמן ראש פיקוד העורף לשעתו
נמיות יקרות על מה חרב הבית? על שנאת חינם ומה גורם לשנאת חינם? כל הקונפלקטים שיש לנו ואנו לא מצליחים לישב אז בשביל אהבת חינם תזכרו מה שנאמר גיט פוש ויאללה רבועש ללמדנו שאנו צריכים לעשות את הפוש ברביעי כדי לנוח בשבת המלכה! שבת שלום אוהב דקל וקנין",2022-08-05 18:48:28,33,3,1,https://facebook.com/HezyLaplacian/posts/663242181825788,https://m.facebook.com/HezyLaplacian/,30,1,2,0,0,0,0,0
658104439006229,אלגוריתם חזק ביותר שמתי פרומפט מילה לא בשפת הקודש קיבלתי רק עובדות ועוגיות,2022-07-31 21:54:20,25,2,0,https://facebook.com/HezyLaplacian/posts/658104439006229,https://m.facebook.com/HezyLaplacian/,20,0,5,0,0,0,0,1
653374646145875,סרט חזק שמסביר מה זה ווב3 למי שעדיין לא היבין הונאה הכי גדולה מאז שנוטון גנב תחדוא,2022-07-27 20:58:28,23,0,0,https://facebook.com/HezyLaplacian/posts/653374646145875,https://m.facebook.com/HezyLaplacian/,18,0,5,0,0,0,0,0
652905056192834,"יפיופה, בואי אלי i
תני לי נשיקה על f תגיייים
יפיופה
בואי נגזור הלילה
פעמיים

ראיתי בעינייך פונקציה לא גזירה
הרגשתי את התדר שאחרי ההתמרה
מעל עיגול מעל טבעת
מפתחת את הטור
וזה למרות שאת יודעת
יש אי רציפות וזה אסור

יפיופה, בואי אל i
אולי את מתביישת לחשב גבול לסדרה
הקשיבי לליבך אל תכשלי באלגברה
תני לפתרונות לפרוח, תגזרי מצד לצד
לכסני אותי בכל הכוח
תשלימי אותי לאחד

יפיופה, בואי אל i…

מילים - לכל אפסילון קיימת דלתא prod by. Jenkins",2022-07-27 14:15:19,85,11,0,https://facebook.com/HezyLaplacian/posts/652905056192834,https://m.facebook.com/HezyLaplacian/,72,0,12,0,1,0,0,0
651716409645032,כאן חומדים,2022-07-26 19:06:24,96,3,0,https://facebook.com/HezyLaplacian/posts/651716409645032,https://m.facebook.com/HezyLaplacian/,64,0,32,0,0,0,0,1
651625702987436,"הלב ניקרע לרסיסים מרשומות היזכורים של עובדי סולוטו הי""ד בלינדין שנאמר אל מלא רחמים שוכן במגדלים המצא מישרה נכונה על כנפי הגיטהאב במעלות אפסטרים ואוריג'ין כזוהר הקומיט מתייגים את נישמת פול בן סטאק שהלך לדרכו בעבור שנדבו משכורת חודש אחד בעד הזכרת שמו לכן בעל הפוזישנים ישימהו בסתר מאגריו לעולמים ויצרור בצרור המיילים את כתובתו בונוסים היא נחלתו וינוח בשלום על משרדו ונאמר אמן",2022-07-26 17:36:51,166,9,1,https://facebook.com/HezyLaplacian/posts/651625702987436,https://m.facebook.com/HezyLaplacian/,127,0,33,0,1,0,5,0
651561342993872,"רכב קריפטו של אלון מאסק

שלח לי אור לי-במבוק נמיה ועץ",2022-07-26 16:31:01,52,1,0,https://facebook.com/HezyLaplacian/posts/651561342993872,https://m.facebook.com/HezyLaplacian/,50,0,2,0,0,0,0,1
