,post_id,post_text,time,reaction_count,comments,shares,post_url,page_url,like,love,haha,wow,care,angry,sad,images_cnt
0,590249959232857,למה עלות השחר ולא נוטלה,2022-08-05 18:12:48,2125,207,33,https://facebook.com/hapshuta/posts/590249959232857,https://m.facebook.com/hapshuta/,1579,5,537,1,3,0,0,0
1,590235055901014,תמונה ראשונה של זאק אפרון בישראל שצולמה בעיר נתיבות,2022-08-05 17:58:00,2501,155,6,https://facebook.com/hapshuta/posts/590235055901014,https://m.facebook.com/hapshuta/,1540,11,941,3,6,0,0,1
2,590218029236050,ממים של הכוכב הבא בשורות טובות,2022-08-05 17:34:23,240,7,1,https://facebook.com/hapshuta/posts/590218029236050,https://m.facebook.com/hapshuta/,191,1,48,0,0,0,0,8
3,590058092585377,כבר שבע שנים אני אומרת שמתישהו אני אראה פאודה,2022-08-05 14:09:56,2209,210,16,https://facebook.com/hapshuta/posts/590058092585377,https://m.facebook.com/hapshuta/,1918,3,281,3,3,1,0,0
4,589994405925079,אני יוצאת מתחנת המשטרה אחרי שהגשתי דיווח על היעדרותו של הבן שלי זאק אפרון וביקשתי לעדכן אותי בהקדם,2022-08-05 12:46:57,1646,73,3,https://facebook.com/hapshuta/posts/589994405925079,https://m.facebook.com/hapshuta/,1137,3,505,1,0,0,0,1
5,589976552593531,"באיחור של עשור התחלתי לצפות במה שקורה באילת VIP
למדתי משרית חדד המלכה שעדיף מאוחר מאשר לעולם לא
ומה רבו מעשיך זה הדבר הכי יפה שקרה לי בחיים
הטראש הכי מקסים וזול ומיושן ומקרינג׳ ונוראי שראיתי לא יכולתי לבקש יותר
האם ככה יסתכלו עלינו בעוד עשור?? מקווה שכן
רוח התקופה 2013 אני אישית השקעתי בבגרויות בלשון ובהיסטוריה א׳ בגדכפת ראש מילה פיעל פועל והתפעל דגש בע׳ חוק ברזל הגורמים לצמיחת ומאפייני הלאומיות
שני יצהרי אל תיעלבי אבל לא הכרתי את השיר שלך י׳בינתי עכשיו השלמתי את החור בהשכלה שיר נדיר עשיתי הגדר כצלצול
ואת מראשון לציון אין על ראשון לציון
האם פישי הגדול הוא בעצם טונה המקורי? עושה רושם של בן אדם נורמלי אבל רגע אני רק בפרק הבכורה
יש גם את גילי מוסינזון לפני כל הטרילילי טרללה
אני רוצה להיות בסטי של תירס סקסואל אנשים חמודים אבל גם מוזרים מאוד
למה הוא צורח למיקרופון מי זה הבחור הסקסי הזה מה יש לך
סורי יכולה להבין את האנשים שיצאו החוצה
עד עכשיו לא הצלחתי להיזכר באיזו עונה של כוכב נולד היה לירון רמתי
שתי הזהויות שלי הן אוזי ואביבית בר זוהר
מחד גיסא אוזי ילדת סנטר גותית אפלה עיפרון שחור טים אדוארד
מחד גיסא אביבית בר זוהר בראצית מאני מן דיאמונדס דיווה
כלומר אני תלוי באיזה יום
ליהיא גרינר היא עדיין הדבר הכי טוב שריאליטי יכול לבקש נקודה
מי עוד בפרק אחד תשיר על שני ״חאליק עם הבכי י׳בילתי״ תכריז ש״כולם עושים פיפי בבריכה״ ותחולל דרמה בסיור הביטחוני של פארס כי לאביבית סוחבים את המזוודה ולה לא
התוכנית צולמה שנה אחרי החתונה האייקונית של ליהיא והיום כולם יודעים שליהיא צדקה היא בכוונה השיקה אצלה בחתונה חבר חדש
אני נכנסת אל מסע והוא מרגש אותי
אעדכן
בשורות טובות",2022-08-05 12:10:21,1249,413,5,https://facebook.com/hapshuta/posts/589976552593531,https://m.facebook.com/hapshuta/,1001,15,231,0,2,0,0,0
6,589705689287284,פגשתי עכשיו את זאק אפרון ואז התעוררתי ובדרך לשירותים קיבלתי 2 סימנים כחולים חמישי שמח גם לכם,2022-08-05 01:54:28,1438,42,1,https://facebook.com/hapshuta/posts/589705689287284,https://m.facebook.com/hapshuta/,1226,1,211,0,0,0,0,0
7,589658642625322,"יש לי סלט ניסואז בראש
יותר מדי קווי עלילה בפרק אחד וכבר אין טובים ורעים מובהקים איך אפשר לעבוד ככה
אין סיכוי שטליה שכולה תכלת לא מושלמת לא הגיוני ההסבר היחיד העריכה מגמתית והשופט זבל
אני לא צופה בערוץ 26 יש גבול גם לחוסר חיים אבל ראיתי במרשתת הרבה רגעים בלי שמות ששרין אופק ודינה עוקצים את טליה ובפרק אין זכר
רשת 13 אני מכריזה בזאת אתם מרגיזים אותי
אני רב סמלת בצבא האמת של טליה אני לא קונה את הטריקים העריכתיים שלכם
בלי קשר אם מר בחור היה אומר לי האקסית שלי יפה ממך פי ארבע היה מקבל כפכף לאף יאללה פה ג׳ורה
סורי לא מאמינה למילה של אופק יגיד לי בוקר טוב אני אצא לוודא שהשמש זורחת
במעבר חד אתם הייתם מאמינים אם לפני חודשיים היו מגלים לכם שתגידו על הדיירת ששרה ביץ׳ וואנה רייד ״פייי היא הכי נורמלית שם״??
אל תסתכלו בקנקן אלא על התפריט קינוחים
אילנה את הלב אני מאוהבת בך איזה ילד נסיך הכי מגיע לך בעולם
האח הגדול תכניס את הילד הביתה יא מניאק
מה קשור אליאב
לא התגעגעתי מה אני אשקר
עובדתית מאז שהלכת בר במגמת שיפור
יפה להגיד לה פגשתי את ההורים חיים שלמים ביחד
את החלק שהצהרת בכלי התקשורת ידידים פלוס פלוס שכחת לספר אה אדוני??
אבל נו לבריאות אתם נראים מאוהבים אם זה אמיתי אז קטונתי מאחלת לכם חוות רונית לא להזמין אותי מספיק חתונות לקיץ אחד
נ.ב: בשעה טובה דוד נושל מהמטבח
סליחה אני בעד מבוגרים והדרת פני קשיש קמה להם באוטובוס ברכות מעוצבות אבל יש צחוקים ויש חלאס
אי אפשר להכין תערובות מהאוכל של כולם ועוד להשאיר את המטבח חארבו דארבו
לא להתייפייף לי האודישנים למאסטר שף זה בצד השני
ברור לי שהכוונה טובה אבל הדרך לגיהינום רצופה בעריכה מגמתית ויש גבול לכל תעלול
הגיע הזמן למצוא תחביב חדש ממליצה על סריגה
נ.ב 2: חוץ מריוואה שרוב הזמן כפרה עליה אני מיציתי את הקבינט הרכלני
אנשים טובים בבסיסם אבל עלה להם מרשים לעצמם יותר מדי
דינה אישה חזקה סיפור חיים מרגש להדליק משואה אבל בואי נרד לשחף הגב
קאזם פשוט התנהגות לא תקינה לא ברור לי למה כולם בעדו אני תמיד בעד ההומואים ואם אני לא בעד הומו יש בעיה מ.ש.ל
ושרין שומעת הבנתי לא בא לך לצאת ילדותית ומגוחכת אבל הרכבת הזו כבר יצאה
אני מבינה בא לך שחף ולא בא לך משה ולא נעים לך אבל לא נעים מת
משה מרבון לא יודע איפה לקבור את עצמו עצמו ושחף מה חטא זכותו לא לרצות אותך זכות דמוקרטית
הגיע הזמן להתאפס יפה שלי יש הרבה דגים בים ורובם כשרים
נ.ב 3: למה לעשות פריז כשהכיור פתוח אין לנו מים לבזבז
נ.ב 4: יפה מאוד שביטלו את הפרק בתשעה באב שלא תהיה בטעות שנאת חינם
נ.ב 5: מסתבר שיש ליה בבית למה לא סיפרתם
נ.ב 6: באיזה אמירות סקסיסטיות מדובר למה לא מראים לי אותן בפריים טיים
נ.ב 7: תצביעו למיסטר שחף דחוף
בשורות טובות",2022-08-05 00:06:44,2386,282,8,https://facebook.com/hapshuta/posts/589658642625322,https://m.facebook.com/hapshuta/,2043,36,300,1,5,0,1,0
8,589565619301291,"ממים מהפרק האחרון של האח הגדול
בשורות טובות",2022-08-04 21:14:08,1607,214,84,https://facebook.com/hapshuta/posts/589565619301291,https://m.facebook.com/hapshuta/,1124,9,472,0,2,0,0,8
9,589503642640822,"אף אחד:
הפרופילים הפיקטיביים של חמאס:",2022-08-04 19:21:47,2837,69,11,https://facebook.com/hapshuta/posts/589503642640822,https://m.facebook.com/hapshuta/,1929,6,899,1,2,0,0,1
